Date,Price,Open,High,Low,Vol.,Change %
01/06/15,264.1,229.8,268.7,221,1.75M,14.91%
01/07/15,283.7,264.1,315.9,243.2,1.86M,7.42%
01/08/15,229.5,283.7,285.7,196.3,2.22M,-19.12%
01/09/15,235.9,229.5,246.4,224.1,1.65M,2.82%
01/10/15,311.2,235.9,334.9,234.7,2.28M,31.92%
01/11/15,378,311.2,492.8,292.4,4.29M,21.44%
01/12/15,430,378,467.7,347.2,3.20M,13.75%
01/01/16,369.8,430,462.9,350.4,2.49M,-13.98%
01/02/16,436.2,369.8,447.6,365.3,1.99M,17.95%
01/03/16,415.7,436.2,439,386.9,1.66M,-4.71%
01/04/16,448.5,415.7,468.9,412.4,1.39M,7.91%
01/05/16,528.9,448.5,548,435.4,1.66M,17.92%
01/06/16,670,528.9,776,521.3,3.55M,26.68%
01/07/16,621.9,670,701.5,605,1.63M,-7.19%
01/08/16,573.9,621.9,627.9,471.4,1.08M,-7.72%
01/09/16,608.1,573.9,705,569.3,748.55K,5.97%
01/10/16,698.7,608.1,720.2,606.5,905.66K,14.89%
01/11/16,742.5,698.7,755.3,670.4,1.23M,6.27%
01/12/16,963.4,742.5,982.6,741.1,1.27M,29.75%
01/01/17,965.5,963.4,"1,150.60",739.5,2.21M,0.22%
01/02/17,"1,189.30",965.5,"1,211.70",924.7,1.31M,23.18%
01/03/17,"1,079.10","1,189.30","1,330.40",890.4,2.68M,-9.26%
01/04/17,"1,351.90","1,079.10","1,358.90",841.5,1.56M,25.28%
01/05/17,"2,303.30","1,351.90","2,781.80","1,342.80",3.45M,70.38%
01/06/17,"2,480.60","2,303.30","2,985.10","2,125.60",3.35M,7.70%
01/07/17,"2,883.30","2,480.60","2,932.80","1,809.00",3.75M,16.23%
01/08/17,"4,735.10","2,883.30","4,765.10","2,659.60",3.13M,64.23%
01/09/17,"4,360.60","4,735.10","4,976.50","2,979.90",3.93M,-7.91%
01/10/17,"6,451.20","4,360.60","6,467.20","4,143.40",2.98M,47.94%
01/11/17,"9,946.80","6,449.10","11,417.80","5,493.60",3.96M,54.18%
01/12/17,"13,850.40","9,947.10","19,870.60","9,420.90",5.12M,39.25%
01/01/18,"10,265.40","13,850.50","17,252.80","9,271.30",4.84M,-25.88%
01/02/18,"10,333.90","10,266.20","11,791.50","5,996.60",8.54M,0.67%
01/03/18,"6,938.20","10,335.10","11,506.90","6,603.80",7.61M,-32.86%
01/04/18,"9,245.10","6,939.10","9,753.10","6,460.10",6.22M,33.25%
01/05/18,"7,502.60","9,245.10","9,992.80","7,069.80",5.04M,-18.85%
01/06/18,"6,398.90","7,502.50","7,775.00","5,785.30",4.78M,-14.71%
01/07/18,"7,729.40","6,398.50","8,484.60","6,398.50",7.06M,20.79%
01/08/18,"7,033.80","7,728.50","7,753.20","5,898.30",63.25M,-9.00%
01/09/18,"6,635.20","7,032.40","7,409.90","5,977.00",154.15M,-5.67%
01/10/18,"6,365.90","6,635.20","7,358.40","6,034.90",58.80M,-4.06%
01/11/18,"4,039.70","6,365.90","6,594.30","3,634.20",8.71M,-36.54%
01/12/18,"3,709.40","4,038.70","4,316.10","3,177.00",15.70M,-8.18%
01/01/19,"3,437.20","3,709.50","4,070.50","3,368.20",15.72M,-7.34%
01/02/19,"3,816.60","3,437.70","4,194.20","3,382.50",23.13M,11.04%
01/03/19,"4,102.30","3,816.70","4,138.10","3,681.80",81.62M,7.49%
01/04/19,"5,320.80","4,102.30","5,594.40","4,076.80",54.03M,29.70%
01/05/19,"8,558.30","5,321.10","9,045.90","5,319.50",44.06M,60.85%
01/06/19,"10,818.60","8,556.90","13,929.80","7,480.40",22.96M,26.41%
01/07/19,"10,082.00","10,821.40","13,134.40","9,082.60",23.61M,-6.81%
01/08/19,"9,594.40","10,081.90","12,291.90","9,343.00",17.53M,-4.84%
